iter	Passed	Remaining
0	13403	8524659
1	13699	4349636
2	14037	2966661
3	14312	2264993
4	14589	1844099
5	14851	1561874
6	15133	1362005
7	15416	1212150
8	15694	1095125
9	15958	1000602
10	16249	924739
11	16536	861275
12	17231	827124
13	17499	778718
14	17771	736941
15	18049	700527
16	18308	667705
17	18590	639314
18	18854	613275
19	19140	590475
20	19413	569468
21	19700	550718
22	19970	533112
23	20263	517566
24	20544	502927
25	20849	489966
26	21109	476916
27	21382	465075
28	21647	453858
29	21934	443800
30	22211	434189
31	22469	424815
32	22720	415858
33	22979	407540
34	23271	400261
35	23534	392892
36	23809	386105
37	24055	379192
38	24306	372696
39	24597	367122
40	24895	361894
41	25178	356701
42	25447	351535
43	25706	346458
44	25956	341474
45	26193	336535
46	26442	331942
47	26704	327686
48	26975	323710
49	27200	319332
50	27472	315665
51	27783	312567
52	28071	309313
53	28343	306008
54	28591	302545
55	28827	299081
56	29023	295321
57	29267	292175
58	29548	289476
59	29800	286577
60	30109	284309
61	30364	281610
62	30636	279135
63	30866	276351
64	31130	273946
65	31327	271028
66	31587	268727
67	31859	266586
68	32103	264273
69	32376	262249
70	32627	260098
71	32810	257471
72	33007	255013
73	33252	252985
74	33512	251121
75	33907	250288
76	34094	247961
77	34276	245648
78	34640	244679
79	34878	242844
80	35134	241169
81	35343	239218
82	35537	237199
83	35773	235511
84	36001	233798
85	36235	232157
86	36491	230691
87	36644	228613
88	36853	226917
89	37060	225246
90	37261	223571
91	37508	222197
92	37749	220816
93	37960	219283
94	38196	217921
95	38399	216395
96	38604	214913
97	38816	213489
98	39010	211998
99	39193	210468
100	39392	209050
101	39577	207589
102	39784	206260
103	40003	205019
104	40217	203768
105	40419	202477
106	40632	201262
107	40870	200187
108	41074	198967
109	41252	197638
110	41494	196632
111	41663	195298
112	41903	194312
113	42155	193398
114	42295	191983
115	42524	190992
116	42699	189775
117	42952	188917
118	43242	188231
119	43487	187358
120	43744	186545
121	43944	185501
122	44120	184372
123	44377	183594
124	44644	182865
125	44903	182108
126	45128	181224
127	45358	180371
128	45558	179408
129	45746	178412
130	45962	177536
131	46247	176930
132	46489	176170
133	46711	175341
134	46840	174176
135	47039	173283
136	47233	172386
137	47404	171410
138	47638	170674
139	47822	169770
140	48182	169493
141	48396	168706
142	48603	167904
143	48800	167073
144	48986	166217
145	49143	165271
146	49301	164337
147	49471	163456
148	49746	162926
149	49947	162161
150	50169	161471
151	50460	161009
152	50921	161086
153	51163	160465
154	51331	159624
155	51611	159133
156	51805	158386
157	52050	157799
158	52304	157242
159	52529	156602
160	52749	155956
161	52997	155394
162	53149	154557
163	53397	154007
164	53663	153509
165	53896	152923
166	54106	152275
167	54342	151707
168	54628	151279
169	54868	150725
170	55162	150324
171	55410	149802
172	55672	149319
173	55888	148715
174	56164	148274
175	56432	147814
176	56634	147186
177	56848	146593
178	57088	146070
179	57279	145427
180	57518	144908
181	57757	144393
182	57962	143796
183	58177	143231
184	58389	142660
185	58619	142135
186	58778	141444
187	58991	140888
188	59205	140338
189	59431	139819
190	59673	139342
191	59964	138979
192	60222	138542
193	60480	138106
194	60696	137578
195	60904	137035
196	61023	136296
197	61280	135870
198	61630	135649
199	61824	135086
200	62045	134585
201	62299	134159
202	62544	133716
203	62738	133165
