iter	Passed	Remaining
0	5409	1076520
1	6465	640082
2	7324	480993
3	8107	397260
4	8886	346578
5	9677	312900
6	10487	289156
7	11323	271764
8	12205	259025
9	13085	248632
10	13872	238358
11	14749	231081
12	15562	223863
13	16395	217820
14	17200	212135
15	17984	206821
16	18813	202519
17	19619	198373
18	20405	194386
19	21265	191387
20	22062	188053
21	22865	185001
22	23767	182907
23	24513	179764
24	25394	177759
25	26196	175313
26	27033	173213
27	27907	171431
28	28775	169678
29	29706	168337
30	30474	166136
31	31296	164307
32	32110	162497
33	33002	161130
34	33731	159018
35	34618	157707
36	35516	156465
37	36382	155102
38	37224	153670
39	38010	152040
40	38922	150945
41	39739	149496
42	40487	147828
43	41268	146316
44	42038	144798
45	42824	143368
46	43656	142114
47	44483	140862
48	45176	139216
49	45927	137781
50	46712	136473
51	47474	135118
52	48239	133795
53	49051	132621
54	49942	131667
55	50725	130437
56	51706	129720
57	52483	128493
58	53350	127498
59	54113	126265
60	54959	125234
61	55795	124189
62	56607	123098
63	57386	121946
64	58231	120942
65	58981	119750
66	59847	118801
67	60665	117763
68	61532	116822
69	62320	115738
70	63280	114974
71	64259	114238
72	65010	113100
73	65925	112251
74	66787	111312
75	67572	110249
76	68390	109246
77	69215	108260
78	70038	107273
79	70894	106342
80	71738	105393
81	72622	104506
82	73399	103466
83	74208	102478
84	75191	101729
85	75988	100728
86	76822	99780
87	77628	98799
88	78514	97923
89	79153	96742
90	79968	95785
91	80873	94939
92	81727	94031
93	82554	93093
94	83488	92277
95	84200	91217
96	85014	90272
97	85864	89368
98	86692	88444
99	87534	87534
100	88343	86593
101	89233	85734
102	90095	84846
103	90855	83866
104	91781	83039
105	92587	82106
106	93346	81133
107	94127	80182
108	94988	79302
109	95847	78420
110	96718	77548
111	97569	76661
112	98411	75768
113	99229	74857
114	99970	73891
115	100801	72993
116	101627	72094
117	102497	71227
118	103337	70338
119	104074	69383
120	104880	68475
121	105730	67597
122	106577	66719
123	107432	65845
124	108278	64966
125	109030	64034
126	109828	63129
127	110703	62270
128	111547	61394
129	112302	60470
130	113167	59607
131	113994	58724
132	114783	57823
133	115624	56949
134	116505	56095
135	117263	55182
136	118059	54289
137	118872	53406
138	119755	52554
139	120624	51696
140	121431	50811
141	122223	49922
142	123070	49056
143	123935	48197
144	124742	47316
145	125562	46440
146	126372	45562
147	127098	44656
148	128061	43833
149	129473	43157
150	130312	42286
151	131155	41417
152	131939	40530
153	133326	39824
154	134218	38966
155	135457	38205
156	136214	37307
157	137166	36461
158	138058	35599
159	138838	34709
160	139652	33828
161	140544	32967
162	141415	32100
163	142228	31220
164	143123	30359
165	144025	29499
166	144853	28623
167	145736	27759
168	146478	26868
169	147281	25990
170	148929	25257
171	149805	24386
172	150680	23516
173	151503	22638
174	152286	21755
175	153086	20875
176	153916	20000
177	154732	19124
178	155565	18250
179	156329	17369
180	157109	16492
181	157975	15623
182	158748	14747
183	159581	13876
184	160323	12999
185	161168	12130
186	161995	11261
187	162834	10393
188	163657	9525
189	164503	8658
190	165408	7794
191	166257	6927
192	167053	6058
193	167811	5190
194	168609	4323
195	169454	3458
196	170297	2593
197	171110	1728
198	171920	863
199	172936	0
